FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,"DFR URL"
"METCALFE FEDERAL BUILDING(GSA)","77 W JACKSON BLVD",CHICAGO,IL,110005936390,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005936390
"METHODIST HOSPITAL","5025 N PAULINA",CHICAGO,IL,110001801202,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001801202
"METOMIC CORPORATION","2944 W 26TH ST",CHICAGO,IL,110044281498,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110044281498
METRA,"14338 E. 14TH STREET",CHICAGO,IL,110007548485,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110007548485
METRA,"147 W 47TH ST",CHICAGO,IL,110005919444,N,1,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005919444
METRA,"12301 S INDIANA",CHICAGO,IL,110005934463,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005934463
METRA,"2741 W GRAND",CHICAGO,IL,110005888129,N,1,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005888129
"METRA BRIDGE S102 REPLACEMENT","MORGAN AND 87TH",CHICAGO,IL,110071545806,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071545806
"METRA ELECTRIC DISTRICT (MED) 95TH STREET STATION","811 E 95TH ST",CHICAGO,IL,110071886808,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071886808
"METRA SWS BRIDGE 16.32 REPLACEMENT OVER STONY CREEK","10101 MELVINA AVE","CHICAGO RIDGE",IL,110071782966,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071782966
"METRO AUTO BODY GROUP","3147 S ARCHER",CHICAGO,IL,110040098827,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110040098827
"METRO AUTO TECH UNITED","5045 S WESTERN BLVD",CHICAGO,IL,110070159016,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159016
"METRO COLLISION EXPERTS","3057 W COLUMBUS AVE",CHICAGO,IL,110070159657,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159657
"METRO FORD SALES AND SERVICE, INC","6455 S WESTERN",CHICAGO,IL,110005846576,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005846576
"METRO PIER & EXPO AUTHORITY","234 E 24TH ST",CHICAGO,IL,110005844266,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005844266
"METRON STEEL","12900 S METRON DR",CHICAGO,IL,110001227869,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001227869
"METROPOLITAN FAMILY SERVICES","3249 N CENTRAL AVE",CHICAGO,IL,110015706556,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110015706556
"METROPOLITAN MGMT CO","233 N MICHIGAN AVE B",CHICAGO,IL,110007541160,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110007541160
"METROPOLITAN PROPERTIES","310 S MICHIGAN AV STE2400",CHICAGO,IL,110018050874,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018050874
"METROPOLITAN WATER RECLAMATION","400 EAST 130TH STREET",CHICAGO,IL,110018288912,N,12,4,1,Y,https://echo.epa.gov/detailed-facility-report?fid=110018288912
"METROPOLITAN WATER RECLAMATION DISTRICT","13 STEPHEN ST",LEMONT,IL,110018286175,N,0,2,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018286175
"METROPOLITAN WATER RECLAMATION DISTRICT OF GREATER CHICAGO (MWRDGC)","100 EAST ERIE STREET",CHICAGO,IL,110054122481,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110054122481
"MEYER INDUSTRIAL CONTAINER","610 W 81ST ST",CHICAGO,IL,110018163850,N,1,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018163850
"MEYER OSCAR ELEMENTARY","2250 N CLIFTON AVE",CHICAGO,IL,110003047257,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003047257
